"title","year","genres","rating"
"Taken","I (2008)","action,thriller","7.8 base on 554,453 votes"
"Avatar","2009","action,adventure,fantasy","7.8 base on 1,093,042 votes"
"Apocalypto","2006","action,adventure,drama,thriller","7.8 base on 282,635 votes"
"Hot Fuzz","2007","action,comedy,mystery,thriller","7.8 base on 448,255 votes"
"Serenity","2005","action,adventure,thriller","7.8 base on 278,049 votes"
"Gangaajal","2003","action,crime,drama","7.8 base on 14,978 votes"
"Interstella 5555: The 5tory of the 5ecret 5tar 5ystem","2003","action,adventure,animation,music","7.8 base on 13,191 votes"
"Nayak: The Real Hero","2001","action,drama,thriller","7.8 base on 13,369 votes"
"Gongdong gyeongbi guyeok JSA","2000","action,drama,thriller,war","7.8 base on 25,154 votes"
"The Count of Monte Cristo","2002","action,adventure,drama,thriller","7.8 base on 125,654 votes"
"Brat 2","2000","action,crime,thriller","7.8 base on 11,737 votes"
"Wo hu cang long","2000","action,adventure,fantasy,romance","7.8 base on 247,853 votes"
"The Boondock Saints","1999","action,crime,thriller","7.8 base on 223,277 votes"
"The Game","1997","action,drama,mystery,thriller","7.8 base on 332,460 votes"
"Tombstone","1993","action,biography,drama,history,western","7.8 base on 121,315 votes"
"The Fugitive","1993","action,crime,drama,mystery,thriller","7.8 base on 258,752 votes"
"Batman: Mask of the Phantasm","1993","action,animation,crime,drama,mystery,thriller","7.8 base on 41,121 votes"
"Lat sau san taam","1992","action,crime,thriller","7.8 base on 45,418 votes"
"Dip huet seung hung","1989","action,crime,drama,thriller","7.8 base on 44,613 votes"
"Predator","1987","action,adventure,thriller","7.8 base on 361,013 votes"
"Mr. India","1987","action,comedy,drama,family,musical","7.8 base on 13,336 votes"
"Ghostbusters","1984","action,comedy,fantasy","7.8 base on 343,109 votes"
"Don","1978","action,crime,thriller","7.8 base on 10,780 votes"
"The Dirty Dozen","1967","action,adventure,war","7.8 base on 65,007 votes"
"Bonnie and Clyde","1967","action,biography,crime,drama","7.8 base on 99,128 votes"
"The Longest Day","1962","action,drama,history,war","7.8 base on 50,915 votes"
"Red River","1948","action,adventure,drama,romance,western","7.8 base on 26,992 votes"
"Key Largo","1948","action,crime,drama,thriller","7.8 base on 35,859 votes"
"Scarface: The Shame of the Nation","1932","action,crime,drama,thriller","7.8 base on 24,319 votes"
"Tanhaji: The Unsung Warrior","2020","action,biography,drama,history","7.7 base on 18,562 votes"
"Ölümlü Dünya","2018","action,comedy","7.7 base on 18,651 votes"
"Bharat Ane Nenu","2018","action,drama","7.7 base on 14,872 votes"
"Parmanu: The Story of Pokhran","2018","action,drama,history","7.7 base on 19,716 votes"
"Mersal","2017","action,thriller","7.7 base on 23,322 votes"
"Deadpool 2","2018","action,adventure,comedy","7.7 base on 451,985 votes"
"Mission: Impossible - Fallout","2018","action,adventure,thriller","7.7 base on 273,419 votes"
"Bakemono no ko","2015","action,adventure,animation,drama,fantasy","7.7 base on 19,060 votes"
"Madras Cafe","2013","action,drama,thriller","7.7 base on 22,066 votes"
"Kingsman: The Secret Service","2014","action,adventure,comedy,thriller","7.7 base on 573,631 votes"
"Eega","2012","action,fantasy","7.7 base on 20,516 votes"
"Captain America: The Winter Soldier","2014","action,adventure,thriller","7.7 base on 711,324 votes"
"Mai wei","2011","action,drama,war","7.7 base on 10,105 votes"
"The Lego Movie","2014","action,adventure,animation,comedy,family,fantasy","7.7 base on 316,942 votes"
"Magadheera","2009","action,drama,fantasy,romance","7.7 base on 17,454 votes"
"Star Trek Into Darkness","2013","action,adventure","7.7 base on 456,173 votes"
"X: First Class","2011","action,adventure","7.7 base on 632,412 votes"
"Skyfall","2012","action,adventure,thriller","7.7 base on 615,893 votes"
"Evangelion Shin Gekijôban: Jo","2007","action,animation,drama","7.7 base on 16,869 votes"
"3:10 to Yuma","2007","action,adventure,crime,drama,western","7.7 base on 280,899 votes"
"Kung fu","2004","action,comedy,fantasy","7.7 base on 122,977 votes"
"The Bourne Supremacy","2004","action,mystery,thriller","7.7 base on 423,523 votes"
"Man on Fire","2004","action,crime,drama,thriller","7.7 base on 320,830 votes"
"The Last Samurai","2003","action,drama,war","7.7 base on 387,668 votes"
"Blinkende lygter","2000","action,comedy,crime","7.7 base on 18,615 votes"
"Vampire Hunter D: Bloodlust","2000","action,animation,fantasy,horror","7.7 base on 28,224 votes"
"Shurayukihime","1973","action,drama,thriller","7.7 base on 11,605 votes"
"The Fifth Element","1997","action,adventure","7.7 base on 421,255 votes"
"The Last of the Mohicans","1992","action,adventure,drama,romance,war","7.7 base on 143,755 votes"
"Empire of the Sun","1987","action,drama,history,war","7.7 base on 111,649 votes"
"Star Trek II: The Wrath of Khan","1982","action,adventure","7.7 base on 109,665 votes"
"First Blood","1982","action,adventure","7.7 base on 218,685 votes"
"Shao Lin san shi liu fang","1978","action,adventure,drama","7.7 base on 14,149 votes"
"The Taking of Pelham One Two Three","1974","action,crime,thriller","7.7 base on 25,318 votes"
"Enter the Dragon","1973","action,crime,drama,thriller","7.7 base on 93,128 votes"
"The French Connection","1971","action,crime,drama,thriller","7.7 base on 105,728 votes"
"Dirty Harry","1971","action,crime,thriller","7.7 base on 138,916 votes"
"Where Eagles Dare","1968","action,adventure,war","7.7 base on 50,045 votes"
"Goldfinger","1964","action,adventure,thriller","7.7 base on 167,117 votes"
"The Magnificent Seven","1960","action,adventure,western","7.7 base on 84,859 votes"
"Captain Blood","1935","action,adventure","7.7 base on 12,486 votes"
"The Ghazi Attack","2017","action,thriller,war","7.6 base on 11,057 votes"
